id,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,source,price,new,dublicate_ptc,no_ptc,original_ptc
13137,внедорожник,белый,3.0,249.0,дизель,27982.0,5.0,2019.0,1.0,1.0,1,1.0,avito,3984000.0,0,0,0,1
13138,седан,зелёный,3.2,197.0,бензин,300000.0,4.0,1983.0,1.0,2.0,0,1.0,avito,550000.0,0,0,0,1
13139,внедорожник,синий,4.4,575.0,бензин,36151.0,5.0,2017.0,1.0,2.0,1,1.0,avito,4550000.0,0,0,0,1
13140,седан,чёрный,2.0,184.0,дизель,130435.0,4.0,2013.0,1.0,4.0,0,1.0,avito,1050000.0,0,0,0,1
13141,хетчбек,чёрный,1.6,170.0,бензин,81000.0,5.0,2012.0,1.0,4.0,0,1.0,avito,699999.0,0,0,0,1
13142,седан,чёрный,2.0,184.0,бензин,130000.0,4.0,2012.0,1.0,3.0,0,1.0,avito,1090000.0,0,0,0,1
13143,седан,чёрный,2.0,190.0,дизель,33300.0,4.0,2019.0,1.0,1.0,1,1.0,avito,2490000.0,0,0,0,1
13144,седан,чёрный,3.0,249.0,дизель,1751.0,4.0,2019.0,1.0,1.0,1,1.0,avito,6190000.0,0,0,0,1
13145,седан,серебристый,2.5,163.0,дизель,322000.0,4.0,2002.0,0.0,1.0,0,1.0,avito,350000.0,0,0,0,1
13146,внедорожник,белый,3.0,313.0,дизель,46200.0,5.0,2016.0,1.0,1.0,1,1.0,avito,3195000.0,0,0,0,1
13147,внедорожник,чёрный,3.0,249.0,дизель,149445.0,5.0,2015.0,1.0,2.0,1,1.0,avito,2399000.0,0,0,0,1
13148,внедорожник,чёрный,3.0,340.0,бензин,1979.0,5.0,2019.0,1.0,1.0,1,1.0,avito,5998000.0,0,0,0,1
13149,купе,чёрный,2.5,218.0,бензин,218158.0,2.0,2008.0,1.0,3.0,1,1.0,avito,597000.0,0,0,0,1
13150,седан,синий,6.6,609.0,бензин,44315.0,4.0,2018.0,1.0,1.0,1,1.0,avito,6800000.0,0,0,0,1
13151,внедорожник,чёрный,3.0,286.0,дизель,155313.0,5.0,2010.0,1.0,3.0,1,1.0,avito,1160000.0,0,0,0,1
13152,седан,синий,2.0,184.0,бензин,80000.0,4.0,2016.0,1.0,1.0,1,1.0,avito,1590000.0,0,0,0,1
13153,седан,коричневый,2.0,184.0,бензин,136000.0,4.0,2012.0,1.0,1.0,0,1.0,avito,970000.0,0,0,0,1
13154,внедорожник,чёрный,4.4,560.0,бензин,70700.0,5.0,2017.0,2.0,1.0,0,1.0,avito,3600000.0,0,0,0,1
13155,седан,белый,3.0,249.0,дизель,33015.0,4.0,2018.0,1.0,1.0,1,1.0,avito,3204730.0,0,0,0,1
13156,внедорожник,белый,3.0,381.0,дизель,196000.0,5.0,2014.0,1.0,2.0,1,1.0,avito,2620000.0,0,0,0,1
13157,внедорожник,синий,3.0,245.0,дизель,106799.0,5.0,2011.0,1.0,1.0,1,1.0,avito,1509950.0,0,0,0,1
13158,седан,чёрный,3.0,258.0,дизель,181269.0,4.0,2012.0,1.0,4.0,1,1.0,avito,1060000.0,0,0,0,1
13159,внедорожник,чёрный,3.0,218.0,дизель,317000.0,5.0,2005.0,1.0,4.0,1,1.0,avito,545000.0,0,0,0,1
13160,седан,белый,2.0,190.0,дизель,33576.0,4.0,2016.0,1.0,2.0,0,1.0,avito,1597000.0,0,0,0,1
13161,внедорожник,чёрный,2.5,218.0,бензин,169850.0,5.0,2010.0,1.0,2.0,1,1.0,avito,715000.0,0,0,0,1
13162,седан,белый,2.0,184.0,бензин,46200.0,4.0,2017.0,1.0,3.0,1,1.0,avito,1635000.0,0,0,0,1
13163,открытый,синий,2.0,156.0,бензин,66000.0,2.0,2011.0,1.0,2.0,0,1.0,avito,900000.0,0,0,0,1
13164,седан,серебристый,3.0,231.0,бензин,170000.0,4.0,2002.0,1.0,4.0,1,1.0,avito,430000.0,0,0,0,1
13165,седан,чёрный,2.0,190.0,дизель,139996.0,4.0,2017.0,1.0,1.0,1,1.0,avito,2197000.0,0,0,0,1
13166,внедорожник,чёрный,3.0,249.0,дизель,16000.0,5.0,2019.0,1.0,1.0,1,1.0,avito,4040000.0,0,0,0,1
13167,внедорожник,чёрный,2.0,190.0,дизель,87000.0,5.0,2014.0,1.0,2.0,1,1.0,avito,1485000.0,0,0,0,1
13168,седан,серый,3.0,249.0,дизель,36000.0,4.0,2018.0,1.0,1.0,1,1.0,avito,3500000.0,0,0,0,1
13169,внедорожник,серый,3.0,218.0,бензин,212000.0,5.0,2009.0,1.0,1.0,0,1.0,avito,610000.0,0,0,0,1
13170,седан,чёрный,1.8,102.0,бензин,182000.0,4.0,1988.0,0.0,2.0,0,1.0,avito,65000.0,0,0,0,1
13171,седан,синий,3.0,258.0,бензин,169500.0,4.0,2011.0,1.0,3.0,0,1.0,avito,960000.0,0,0,0,1
13172,седан,чёрный,2.5,218.0,бензин,183000.0,4.0,2005.0,1.0,4.0,0,1.0,avito,533333.0,0,0,0,1
13173,седан,чёрный,2.0,184.0,дизель,112000.0,4.0,2012.0,1.0,2.0,0,1.0,avito,1200000.0,0,0,0,1
13174,внедорожник,чёрный,0.6,170.0,гибрид,24500.0,5.0,2017.0,1.0,1.0,0,1.0,avito,2199999.0,0,0,0,1
13175,внедорожник,серебристый,3.0,231.0,бензин,340000.0,5.0,2002.0,1.0,4.0,1,1.0,avito,380000.0,0,0,0,1
13176,седан,синий,2.5,192.0,бензин,219000.0,4.0,2002.0,0.0,2.0,0,1.0,avito,390000.0,0,0,0,1
13177,купе,белый,5.0,507.0,бензин,5000.0,2.0,2007.0,2.0,3.0,0,1.0,avito,1900000.0,0,0,0,1
13178,внедорожник,серый,2.0,184.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,avito,3915600.0,1,0,1,0
13179,внедорожник,чёрный,2.0,184.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,avito,3890000.0,1,0,1,0
13180,внедорожник,синий,2.0,184.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,avito,3890000.0,1,0,1,0
13181,седан,белый,3.0,400.0,дизель,70330.0,4.0,2018.0,1.0,1.0,1,1.0,avito,4190000.0,0,0,0,1
13182,внедорожник,серый,2.0,150.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,2870000.0,1,0,1,0
13183,седан,серый,2.0,184.0,бензин,0.0,4.0,2020.0,1.0,,1,1.0,avito,3076800.0,1,0,1,0
13184,внедорожник,чёрный,3.0,306.0,бензин,96000.0,5.0,2013.0,1.0,2.0,1,1.0,avito,1670000.0,0,0,0,1
13185,седан,чёрный,2.0,245.0,бензин,96898.0,4.0,2012.0,1.0,1.0,1,1.0,avito,1296000.0,0,0,0,1
13186,седан,синий,2.5,170.0,бензин,200000.0,4.0,1998.0,1.0,4.0,0,1.0,avito,199999.0,0,0,0,1
13187,седан,синий,2.0,184.0,бензин,179000.0,4.0,2012.0,1.0,3.0,0,1.0,avito,795000.0,0,0,0,1
13188,внедорожник,серый,3.0,211.0,дизель,169234.0,5.0,2009.0,1.0,3.0,1,1.0,avito,950000.0,0,0,0,1
13189,седан,чёрный,3.0,272.0,бензин,301000.0,4.0,2009.0,1.0,3.0,0,1.0,avito,785000.0,0,0,0,1
13190,седан,чёрный,1.5,136.0,бензин,115000.0,4.0,2016.0,1.0,2.0,0,1.0,avito,1200000.0,0,0,0,1
13191,внедорожник,чёрный,3.0,231.0,бензин,230000.0,5.0,2003.0,1.0,3.0,1,1.0,avito,650000.0,0,0,0,1
13192,седан,синий,4.4,407.0,бензин,128300.0,4.0,2012.0,1.0,3.0,1,1.0,avito,949000.0,0,0,0,1
13193,седан,чёрный,4.4,560.0,бензин,84632.0,4.0,2013.0,2.0,2.0,0,1.0,avito,2279000.0,0,0,0,1
13194,внедорожник,чёрный,3.0,306.0,бензин,115162.0,5.0,2010.0,1.0,3.0,1,1.0,avito,1197000.0,0,0,0,1
13195,внедорожник,серый,3.0,381.0,дизель,64393.0,5.0,2014.0,1.0,1.0,1,1.0,avito,2084000.0,0,0,0,1
13196,внедорожник,синий,1.5,136.0,бензин,19640.0,5.0,2018.0,1.0,2.0,0,1.0,avito,1492000.0,0,0,0,1
13197,внедорожник,белый,3.0,313.0,дизель,44561.0,5.0,2017.0,1.0,1.0,1,0.0,avito,1990000.0,0,0,0,1
13198,внедорожник,синий,1.5,136.0,бензин,12169.0,5.0,2018.0,1.0,1.0,2,1.0,avito,1427000.0,0,0,0,1
13199,седан,чёрный,2.0,190.0,дизель,115000.0,4.0,2017.0,1.0,1.0,1,0.0,avito,1395000.0,0,0,0,1
13200,седан,чёрный,2.0,156.0,бензин,175000.0,4.0,2009.0,1.0,3.0,0,1.0,avito,550000.0,0,0,0,1
13201,седан,чёрный,2.0,190.0,дизель,95000.0,4.0,2016.0,1.0,1.0,0,1.0,avito,1250000.0,0,0,0,1
13202,седан,чёрный,4.4,333.0,бензин,215000.0,4.0,2005.0,1.0,3.0,0,1.0,avito,420000.0,0,0,0,1
13203,хетчбек,белый,1.6,115.0,бензин,105000.0,5.0,2011.0,1.0,3.0,0,1.0,avito,450000.0,0,0,0,1
13204,внедорожник,белый,2.0,184.0,бензин,98000.0,5.0,2014.0,1.0,4.0,1,0.0,avito,749000.0,0,0,0,1
13205,внедорожник,белый,3.0,218.0,дизель,107958.0,5.0,2015.0,1.0,1.0,1,1.0,avito,2336000.0,0,0,0,1
13206,внедорожник,серый,3.0,249.0,дизель,98700.0,5.0,2015.0,1.0,2.0,1,1.0,avito,2650000.0,0,0,0,1
13207,седан,серый,3.0,400.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,avito,6260000.0,1,0,1,0
13208,седан,белый,3.0,400.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,avito,6850000.0,1,0,1,0
13209,седан,серебристый,2.5,192.0,бензин,232000.0,4.0,2002.0,1.0,4.0,1,1.0,avito,395000.0,0,0,0,1
13210,внедорожник,серый,4.4,625.0,бензин,15.0,5.0,2020.0,1.0,1.0,1,1.0,avito,11490000.0,1,0,1,0
13211,внедорожник,белый,3.0,231.0,бензин,290000.0,5.0,2004.0,1.0,4.0,1,1.0,avito,470000.0,0,0,0,1
13212,внедорожник,чёрный,3.0,272.0,бензин,180000.0,5.0,2010.0,1.0,3.0,1,1.0,avito,950000.0,0,0,0,1
13213,седан,чёрный,3.0,272.0,бензин,301000.0,4.0,2009.0,1.0,3.0,0,1.0,avito,785000.0,0,0,0,1
13214,внедорожник,чёрный,3.0,218.0,дизель,317000.0,5.0,2005.0,1.0,4.0,1,1.0,avito,545000.0,0,0,0,1
13215,седан,серый,3.0,306.0,бензин,150000.0,4.0,2008.0,1.0,3.0,1,1.0,avito,1050000.0,0,0,0,1
13216,купе,белый,2.0,249.0,бензин,0.0,2.0,2020.0,1.0,,1,1.0,avito,3590000.0,1,0,1,0
13217,седан,чёрный,4.4,407.0,бензин,140000.0,4.0,2010.0,1.0,2.0,1,0.0,avito,250000.0,0,0,0,1
13218,внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,5992000.0,1,0,1,0
13219,седан,чёрный,2.0,190.0,дизель,95000.0,4.0,2016.0,1.0,1.0,0,1.0,avito,1250000.0,0,0,0,1
13220,седан,чёрный,2.8,193.0,бензин,326326.0,4.0,1998.0,1.0,4.0,0,1.0,avito,399993.0,0,0,0,1
13221,седан,чёрный,4.4,450.0,бензин,106000.0,4.0,2014.0,1.0,1.0,1,1.0,avito,2900000.0,0,0,0,1
13222,седан,чёрный,2.5,218.0,бензин,199000.0,4.0,2006.0,1.0,4.0,1,1.0,avito,535000.0,0,0,0,1
13223,хетчбек,чёрный,3.0,265.0,бензин,152000.0,5.0,2007.0,1.0,3.0,0,1.0,avito,580000.0,0,0,0,1
13224,седан,чёрный,2.0,143.0,бензин,245000.0,4.0,2004.0,1.0,4.0,0,1.0,avito,395000.0,0,0,0,1
13225,седан,чёрный,2.0,190.0,дизель,43000.0,4.0,2019.0,1.0,1.0,0,1.0,avito,2050000.0,0,0,0,1
13226,седан,чёрный,3.2,197.0,бензин,240780.0,4.0,1981.0,0.0,1.0,0,1.0,avito,900000.0,0,0,0,1
13227,седан,серый,3.0,306.0,дизель,129000.0,4.0,2011.0,1.0,1.0,1,1.0,avito,1280000.0,0,0,0,1
13228,седан,чёрный,2.5,218.0,бензин,257000.0,4.0,2008.0,1.0,4.0,0,1.0,avito,625000.0,0,0,0,1
