bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,price,new,dublicate_ptc,no_ptc,original_ptc
седан,чёрный,2.0,190.0,дизель,35000.0,4.0,2018.0,1.0,2.0,0,1.0,2100000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,7410000.0,1,0,0,1
седан,серый,3.0,249.0,дизель,43000.0,4.0,2018.0,1.0,2.0,1,1.0,3130000.0,0,0,0,1
универсал,чёрный,2.8,193.0,бензин,440000.0,5.0,1997.0,1.0,3.0,0,1.0,230000.0,0,1,0,0
внедорожник,белый,3.0,249.0,дизель,0.0,5.0,2019.0,1.0,,1,1.0,7937801.0,0,0,0,1
внедорожник,коричневый,4.8,355.0,бензин,155000.0,5.0,2007.0,1.0,3.0,1,1.0,790000.0,0,0,0,1
внедорожник,чёрный,4.4,555.0,бензин,98000.0,5.0,2012.0,1.0,3.0,1,1.0,1599000.0,0,1,0,0
седан,коричневый,2.0,184.0,бензин,74000.0,4.0,2013.0,1.0,1.0,1,1.0,1170000.0,0,0,0,1
внедорожник,чёрный,3.0,272.0,бензин,86000.0,5.0,2009.0,1.0,2.0,1,1.0,950000.0,0,0,0,1
седан,чёрный,4.4,407.0,бензин,126000.0,4.0,2011.0,1.0,3.0,1,1.0,1270000.0,0,0,0,1
внедорожник,чёрный,3.0,340.0,бензин,0.0,5.0,2019.0,1.0,,1,1.0,6660000.0,0,0,0,1
внедорожник,чёрный,2.0,245.0,бензин,47000.0,5.0,2017.0,1.0,1.0,1,1.0,2255000.0,0,0,0,1
седан,белый,1.6,136.0,бензин,75318.0,4.0,2014.0,1.0,2.0,0,1.0,899000.0,0,0,0,1
внедорожник,белый,3.0,218.0,дизель,33000.0,5.0,2018.0,1.0,1.0,1,1.0,3290000.0,0,0,0,1
внедорожник,синий,3.0,340.0,бензин,0.0,5.0,2019.0,1.0,,1,1.0,6080000.0,0,0,0,1
внедорожник,красный,2.0,249.0,бензин,21790.0,5.0,2019.0,1.0,1.0,1,1.0,3740000.0,0,0,0,1
внедорожник,белый,3.0,381.0,дизель,112000.0,5.0,2012.0,1.0,3.0,1,1.0,2050000.0,0,1,0,0
внедорожник,чёрный,3.0,381.0,дизель,44500.0,5.0,2016.0,1.0,1.0,1,1.0,4350000.0,0,0,0,1
внедорожник,чёрный,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,7150000.0,1,0,0,1
седан,коричневый,2.0,190.0,дизель,44017.0,4.0,2018.0,1.0,1.0,0,1.0,2100000.0,0,0,0,1
седан,чёрный,2.0,150.0,бензин,380000.0,4.0,1993.0,0.0,3.0,0,1.0,126500.0,0,0,0,1
седан,синий,3.0,265.0,дизель,98000.0,4.0,2017.0,1.0,2.0,1,1.0,3280000.0,0,0,0,1
внедорожник,белый,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,6280000.0,1,0,0,1
седан,чёрный,4.4,450.0,бензин,61077.0,4.0,2013.0,1.0,3.0,1,1.0,1500000.0,0,1,0,0
внедорожник,чёрный,3.0,400.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,9890290.0,1,0,0,1
внедорожник,коричневый,3.0,231.0,бензин,250000.0,5.0,2005.0,1.0,2.0,1,1.0,598000.0,0,0,0,1
хетчбек,белый,2.0,156.0,бензин,169532.0,5.0,2008.0,1.0,2.0,0,1.0,449000.0,0,0,0,1
хетчбек,белый,1.6,115.0,бензин,170000.0,5.0,2009.0,1.0,3.0,0,1.0,450000.0,0,0,0,1
хетчбек,белый,1.6,115.0,бензин,109968.0,5.0,2008.0,1.0,2.0,0,1.0,419150.0,0,0,0,1
седан,чёрный,3.0,249.0,дизель,51000.0,4.0,2017.0,1.0,2.0,1,1.0,3299000.0,0,0,0,1
внедорожник,коричневый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,6440000.0,1,0,0,1
внедорожник,чёрный,4.4,575.0,бензин,16695.0,5.0,2019.0,1.0,2.0,1,1.0,5499000.0,0,0,0,1
седан,пурпурный,2.0,136.0,бензин,142126.0,4.0,2008.0,1.0,3.0,0,1.0,445000.0,0,1,0,0
внедорожник,коричневый,3.0,249.0,дизель,0.0,5.0,2019.0,1.0,,1,1.0,8063319.0,0,0,0,1
седан,коричневый,2.0,129.0,бензин,235000.0,4.0,1988.0,0.0,1.0,0,1.0,777000.0,0,0,0,1
внедорожник,белый,3.0,231.0,бензин,168000.0,5.0,2005.0,1.0,2.0,1,1.0,499000.0,0,0,0,1
хетчбек,белый,1.6,115.0,бензин,137000.0,5.0,2011.0,1.0,1.0,0,1.0,510000.0,0,0,0,1
седан,красный,2.0,184.0,бензин,85383.0,4.0,2012.0,1.0,3.0,1,1.0,1066000.0,0,0,0,1
внедорожник,синий,2.0,231.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,4990000.0,1,0,0,1
внедорожник,серый,2.5,218.0,бензин,185263.0,5.0,2007.0,1.0,1.0,1,1.0,559000.0,0,0,0,1
внедорожник,коричневый,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,5780000.0,1,0,0,1
хетчбек,оранжевый,1.6,170.0,бензин,101000.0,5.0,2012.0,1.0,2.0,0,1.0,930000.0,0,0,0,1
седан,чёрный,4.4,286.0,бензин,300000.0,4.0,1996.0,1.0,3.0,0,1.0,300000.0,0,0,0,1
внедорожник,белый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,7410000.0,1,0,0,1
внедорожник,чёрный,4.4,575.0,бензин,29000.0,5.0,2018.0,1.0,1.0,1,1.0,4999999.0,0,0,0,1
хетчбек,чёрный,1.6,136.0,бензин,215000.0,5.0,2013.0,1.0,3.0,0,1.0,492500.0,0,0,0,1
внедорожник,чёрный,3.0,231.0,бензин,292000.0,5.0,2004.0,1.0,3.0,1,1.0,585000.0,0,0,0,1
седан,чёрный,2.0,150.0,бензин,290000.0,4.0,1993.0,0.0,3.0,0,1.0,110000.0,0,0,0,1
внедорожник,белый,1.5,140.0,бензин,17602.0,5.0,2019.0,2.0,1.0,2,1.0,1842000.0,0,0,0,1
внедорожник,белый,3.0,340.0,бензин,0.0,5.0,2019.0,1.0,,1,1.0,6080000.0,0,0,0,1
седан,синий,2.0,245.0,бензин,60135.0,4.0,2012.0,1.0,2.0,1,1.0,1300000.0,0,0,0,1
внедорожник,чёрный,3.0,231.0,бензин,225000.0,5.0,2005.0,1.0,3.0,1,1.0,565000.0,0,0,0,1
внедорожник,чёрный,3.0,231.0,бензин,225000.0,5.0,2005.0,1.0,3.0,1,1.0,565000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,63440.0,5.0,2017.0,1.0,1.0,1,1.0,3100000.0,0,0,0,1
внедорожник,коричневый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,5320000.0,1,0,0,1
открытый,чёрный,2.0,184.0,бензин,67950.0,2.0,2011.0,1.0,3.0,0,1.0,1600000.0,0,0,0,1
купе,серый,5.0,507.0,бензин,88900.0,2.0,2006.0,2.0,3.0,0,1.0,890000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,3468900.0,1,0,0,1
внедорожник,чёрный,4.4,575.0,бензин,29990.0,5.0,2018.0,1.0,2.0,1,1.0,4620000.0,0,0,0,1
седан,чёрный,4.4,333.0,бензин,249646.0,4.0,2003.0,1.0,3.0,0,1.0,437000.0,0,0,0,1
седан,синий,2.0,258.0,бензин,950.0,4.0,2018.0,1.0,1.0,0,1.0,2768020.305348224,0,0,0,1
седан,чёрный,2.0,184.0,бензин,0.0,4.0,2020.0,1.0,,0,1.0,3022500.0,1,0,0,1
внедорожник,белый,3.0,249.0,дизель,60430.0,5.0,2018.0,1.0,3.0,1,1.0,3745000.0,0,0,0,1
лифтбек,белый,3.0,258.0,дизель,156378.0,5.0,2013.0,1.0,3.0,0,1.0,1605000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,3366600.0,1,0,0,1
внедорожник,чёрный,3.0,231.0,бензин,190000.0,5.0,2006.0,1.0,3.0,1,1.0,640000.0,0,0,0,1
седан,коричневый,3.0,249.0,дизель,18059.0,4.0,2019.0,1.0,1.0,1,1.0,5299000.0,0,0,0,1
седан,коричневый,2.0,190.0,дизель,1385.0,4.0,2019.0,1.0,1.0,1,1.0,3212997.0,0,0,0,1
внедорожник,белый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,7620000.0,1,0,0,1
седан,синий,2.0,190.0,дизель,6000.0,4.0,2019.0,1.0,1.0,1,1.0,2699000.0,0,0,0,1
внедорожник,чёрный,4.4,575.0,бензин,72000.0,5.0,2015.0,1.0,1.0,1,1.0,3300000.0,0,0,0,1
седан,чёрный,2.0,184.0,бензин,2073.0,4.0,2019.0,1.0,1.0,0,1.0,2570000.0,0,0,0,1
внедорожник,чёрный,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,5780000.0,1,0,0,1
седан,зелёный,1.9,118.0,бензин,274070.0,4.0,2000.0,0.0,2.0,0,1.0,245000.0,0,0,0,1
внедорожник,оранжевый,2.0,150.0,бензин,89399.0,5.0,2013.0,1.0,2.0,0,1.0,897000.0,0,0,0,1
седан,белый,3.0,249.0,дизель,2103.0,4.0,2019.0,1.0,1.0,1,1.0,3997527.0,0,0,0,1
седан,чёрный,3.0,249.0,дизель,2108.0,4.0,2019.0,1.0,1.0,1,1.0,3979000.0,0,0,0,1
седан,белый,1.5,136.0,бензин,26530.0,4.0,2017.0,1.0,2.0,0,1.0,1570000.0,0,0,0,1
внедорожник,белый,3.0,218.0,дизель,48129.0,5.0,2015.0,1.0,1.0,1,1.0,2479000.0,0,0,0,1
внедорожник,коричневый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,5980000.0,1,0,0,1
седан,чёрный,2.0,190.0,дизель,32300.0,4.0,2019.0,1.0,2.0,1,1.0,2550000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,3918.0,4.0,2019.0,1.0,1.0,1,1.0,2629000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,130500.0,5.0,2013.0,1.0,1.0,1,1.0,2290000.0,0,0,0,1
седан,чёрный,2.0,184.0,бензин,0.0,4.0,2020.0,1.0,,0,1.0,3022500.0,1,0,0,1
внедорожник,белый,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,5790000.0,1,0,0,1
внедорожник,серый,2.0,184.0,бензин,112530.0,5.0,2015.0,1.0,2.0,1,1.0,1497000.0,0,0,0,1
внедорожник,чёрный,2.0,150.0,дизель,28247.0,5.0,2017.0,1.0,1.0,1,1.0,1920000.0,0,0,0,1
внедорожник,синий,3.0,400.0,дизель,13000.0,5.0,2019.0,1.0,1.0,1,1.0,8000000.0,0,0,0,1
хетчбек,красный,1.6,115.0,бензин,211073.0,5.0,2011.0,1.0,2.0,0,1.0,365000.0,0,0,0,1
внедорожник,чёрный,2.5,218.0,бензин,204885.0,5.0,2007.0,1.0,3.0,1,1.0,485000.0,0,0,0,1
внедорожник,чёрный,3.0,381.0,дизель,105392.0,5.0,2015.0,1.0,2.0,1,1.0,3100000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,7280000.0,1,0,0,1
седан,чёрный,3.0,188.0,бензин,100000.0,4.0,1991.0,1.0,3.0,0,1.0,130000.0,0,1,0,0
внедорожник,чёрный,3.0,286.0,дизель,147000.0,5.0,2008.0,1.0,1.0,1,1.0,950000.0,0,0,0,1
внедорожник,чёрный,2.0,231.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,4990000.0,1,0,0,1
внедорожник,чёрный,4.4,407.0,бензин,193000.0,5.0,2009.0,1.0,2.0,1,1.0,830000.0,0,0,0,1
седан,чёрный,3.0,272.0,бензин,195000.0,4.0,2008.0,1.0,3.0,1,1.0,550000.0,0,1,0,0
внедорожник,коричневый,3.0,313.0,дизель,99400.0,5.0,2015.0,1.0,2.0,1,1.0,2750000.0,0,0,0,1
внедорожник,чёрный,2.0,190.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,3429500.0,1,0,0,1
седан,синий,4.4,450.0,бензин,26200.0,4.0,2015.0,1.0,2.0,1,1.0,3599000.0,0,0,0,1
внедорожник,чёрный,2.0,184.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,3638500.0,1,0,0,1
