id,engineDisplacement,enginePower,mileage,numberOfDoors,внедорожник,компактвэн,купе,лифтбек,минивэн,открытый,седан,универсал,хетчбек,белый,бордовый,голубой,жёлтый,зелёный,золотистый,золотой,коричневый,красный,оранжевый,пурпурный,розовый,серебристый,серый,синий,фиолетовый,чёрный,бензин,гибрид,дизель,электро,productionDate,ownersNumber,drive,steeringWheelSide,source,price,new,automatic,mechanical,robot,dublicate_ptc,no_ptc,original_ptc,crashed_car,excellent_state_or_new,good_state
37,3.0,249.0,20350.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,3600000.0,0,1,0,0,0,0,1,0,0,1
38,3.0,300.0,114000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2011.0,2.0,1,0.0,auto_ru,1490000.0,0,1,0,0,0,0,1,0,0,1
39,1.6,115.0,155000.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2010.0,3.0,1,0.0,auto_ru,385000.0,0,1,0,0,1,0,0,0,0,1
40,1.6,115.0,121126.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011.0,1.0,1,0.0,auto_ru,455510.0,0,1,0,0,0,0,1,0,0,1
41,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020.0,,2,0.0,auto_ru,6160000.0,1,1,0,0,0,0,1,0,0,1
42,2.0,192.0,21184.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2019.0,1.0,2,0.0,auto_ru,2350000.0,0,1,0,0,0,0,1,0,0,1
43,3.0,320.0,5350.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2019.0,1.0,2,0.0,auto_ru,4350000.0,0,1,0,0,0,0,1,0,0,1
44,2.0,190.0,70000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2017.0,1.0,2,0.0,auto_ru,2590000.0,0,1,0,0,0,0,1,0,0,1
45,4.4,450.0,32000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2015.0,1.0,2,0.0,auto_ru,3200000.0,0,1,0,0,0,0,1,0,0,1
46,3.0,400.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,9366000.0,1,1,0,0,0,0,1,0,0,1
47,2.0,136.0,131229.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011.0,1.0,1,0.0,auto_ru,500000.0,0,1,0,0,0,0,1,0,0,1
48,2.0,184.0,48493.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2015.0,1.0,1,0.0,auto_ru,1289000.0,0,1,0,0,0,0,1,0,0,1
49,2.0,190.0,35000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,2.0,1,0.0,auto_ru,2100000.0,0,1,0,0,0,0,1,0,0,1
50,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,7410000.0,1,1,0,0,0,0,1,0,0,1
51,3.0,249.0,43000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2018.0,2.0,2,0.0,auto_ru,3130000.0,0,1,0,0,0,0,1,0,0,1
52,2.8,193.0,440000.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1997.0,3.0,1,0.0,auto_ru,230000.0,0,1,0,0,1,0,0,0,0,1
53,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019.0,,2,0.0,auto_ru,7937801.0,0,1,0,0,0,0,1,0,0,1
54,4.8,355.0,155000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2007.0,3.0,2,0.0,auto_ru,790000.0,0,1,0,0,0,0,1,0,0,1
55,4.4,555.0,98000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2012.0,3.0,2,0.0,auto_ru,1599000.0,0,1,0,0,1,0,0,0,0,1
56,2.0,184.0,74000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013.0,1.0,2,0.0,auto_ru,1170000.0,0,1,0,0,0,0,1,0,0,1
57,3.0,272.0,86000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2009.0,2.0,2,0.0,auto_ru,950000.0,0,1,0,0,0,0,1,0,0,1
58,4.4,407.0,126000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2011.0,3.0,2,0.0,auto_ru,1270000.0,0,1,0,0,0,0,1,0,0,1
59,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2019.0,,2,0.0,auto_ru,6660000.0,0,1,0,0,0,0,1,0,0,1
60,2.0,245.0,47000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2017.0,1.0,2,0.0,auto_ru,2255000.0,0,1,0,0,0,0,1,0,0,1
61,1.6,136.0,75318.0,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,2.0,1,0.0,auto_ru,899000.0,0,1,0,0,0,0,1,0,0,1
62,3.0,218.0,33000.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,3290000.0,0,1,0,0,0,0,1,0,0,1
63,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2019.0,,2,0.0,auto_ru,6080000.0,0,1,0,0,0,0,1,0,0,1
64,2.0,249.0,21790.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019.0,1.0,2,0.0,auto_ru,3740000.0,0,1,0,0,0,0,1,0,0,1
65,3.0,381.0,112000.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012.0,3.0,2,0.0,auto_ru,2050000.0,0,1,0,0,1,0,0,0,0,1
66,3.0,381.0,44500.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2016.0,1.0,2,0.0,auto_ru,4350000.0,0,1,0,0,0,0,1,0,0,1
67,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2020.0,,2,0.0,auto_ru,7150000.0,1,1,0,0,0,0,1,0,0,1
68,2.0,190.0,44017.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018.0,1.0,1,0.0,auto_ru,2100000.0,0,1,0,0,0,0,1,0,0,1
69,2.0,150.0,380000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1993.0,3.0,1,0.0,auto_ru,126500.0,0,0,1,0,0,0,1,0,0,1
70,3.0,265.0,98000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2017.0,2.0,2,0.0,auto_ru,3280000.0,0,1,0,0,0,0,1,0,0,1
71,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020.0,,2,0.0,auto_ru,6280000.0,1,1,0,0,0,0,1,0,0,1
72,4.4,450.0,61077.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2013.0,3.0,2,0.0,auto_ru,1500000.0,0,1,0,0,1,0,0,0,0,1
73,3.0,400.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,9890290.0,1,1,0,0,0,0,1,0,0,1
74,3.0,231.0,250000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2005.0,2.0,2,0.0,auto_ru,598000.0,0,1,0,0,0,0,1,0,0,1
75,2.0,156.0,169532.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0,2.0,1,0.0,auto_ru,449000.0,0,1,0,0,0,0,1,0,0,1
76,1.6,115.0,170000.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009.0,3.0,1,0.0,auto_ru,450000.0,0,1,0,0,0,0,1,0,0,1
77,1.6,115.0,109968.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0,2.0,1,0.0,auto_ru,419150.0,0,1,0,0,0,0,1,0,0,1
78,3.0,249.0,51000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2017.0,2.0,2,0.0,auto_ru,3299000.0,0,1,0,0,0,0,1,0,0,1
79,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020.0,,2,0.0,auto_ru,6440000.0,1,1,0,0,0,0,1,0,0,1
80,4.4,575.0,16695.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2019.0,2.0,2,0.0,auto_ru,5499000.0,0,1,0,0,0,0,1,0,0,1
81,2.0,136.0,142126.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2008.0,3.0,1,0.0,auto_ru,445000.0,0,1,0,0,1,0,0,0,0,1
82,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019.0,,2,0.0,auto_ru,8063319.0,0,1,0,0,0,0,1,0,0,1
83,2.0,129.0,235000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1988.0,1.0,1,0.0,auto_ru,777000.0,0,0,1,0,0,0,1,0,0,1
84,3.0,231.0,168000.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005.0,2.0,2,0.0,auto_ru,499000.0,0,1,0,0,0,0,1,0,0,1
85,1.6,115.0,137000.0,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011.0,1.0,1,0.0,auto_ru,510000.0,0,1,0,0,0,0,1,0,0,1
86,2.0,184.0,85383.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,3.0,2,0.0,auto_ru,1066000.0,0,1,0,0,0,0,1,0,0,1
87,2.0,231.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2020.0,,2,0.0,auto_ru,4990000.0,1,1,0,0,0,0,1,0,0,1
88,2.5,218.0,185263.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2007.0,1.0,2,0.0,auto_ru,559000.0,0,1,0,0,0,0,1,0,0,1
89,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020.0,,2,0.0,auto_ru,5780000.0,1,1,0,0,0,0,1,0,0,1
90,1.6,170.0,101000.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012.0,2.0,1,0.0,auto_ru,930000.0,0,1,0,0,0,0,1,0,0,1
91,4.4,286.0,300000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1996.0,3.0,1,0.0,auto_ru,300000.0,0,1,0,0,0,0,1,0,0,1
92,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020.0,,2,0.0,auto_ru,7410000.0,1,1,0,0,0,0,1,0,0,1
93,4.4,575.0,29000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2018.0,1.0,2,0.0,auto_ru,4999999.0,0,1,0,0,0,0,1,0,0,1
94,1.6,136.0,215000.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2013.0,3.0,1,0.0,auto_ru,492500.0,0,1,0,0,0,0,1,0,0,1
95,3.0,231.0,292000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2004.0,3.0,2,0.0,auto_ru,585000.0,0,1,0,0,0,0,1,0,0,1
96,2.0,150.0,290000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1993.0,3.0,1,0.0,auto_ru,110000.0,0,0,1,0,0,0,1,0,0,1
97,1.5,140.0,17602.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019.0,1.0,2,0.0,auto_ru,1842000.0,0,0,0,1,0,0,1,0,0,1
98,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019.0,,2,0.0,auto_ru,6080000.0,0,1,0,0,0,0,1,0,0,1
99,2.0,245.0,60135.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012.0,2.0,2,0.0,auto_ru,1300000.0,0,1,0,0,0,0,1,0,0,1
100,3.0,231.0,225000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2005.0,3.0,2,0.0,auto_ru,565000.0,0,1,0,0,0,0,1,0,0,1
101,3.0,231.0,225000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2005.0,3.0,2,0.0,auto_ru,565000.0,0,1,0,0,0,0,1,0,0,1
102,3.0,249.0,63440.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2017.0,1.0,2,0.0,auto_ru,3100000.0,0,1,0,0,0,0,1,0,0,1
103,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020.0,,2,0.0,auto_ru,5320000.0,1,1,0,0,0,0,1,0,0,1
104,2.0,184.0,67950.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2011.0,3.0,1,0.0,auto_ru,1600000.0,0,1,0,0,0,0,1,0,0,1
105,5.0,507.0,88900.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2006.0,3.0,1,0.0,auto_ru,890000.0,0,0,0,1,0,0,1,0,0,1
